model,technique,task,metric,value
CatBoost,hpcb-multitask_anon_template1,avgpcon,MAE,29.4884
CatBoost,hpcb-multitask_anon_template1,avgpcon,R2 Score,0.0854
CatBoost,hpcb-multitask_anon_template1,duration,MAE,247.0425
CatBoost,hpcb-multitask_anon_template1,duration,R2 Score,0.1128
CatBoost,hpcb-multitask_anon_template1,ec,accuracy,0.89
CatBoost,hpcb-multitask_anon_template1,ec,precision,0.88
CatBoost,hpcb-multitask_anon_template1,ec,recall,0.75
CatBoost,hpcb-multitask_anon_template1,ec,f1-score,0.79
CatBoost,hpcb-multitask_anon_template1,pclass,accuracy,0.76
CatBoost,hpcb-multitask_anon_template1,pclass,precision,0.68
CatBoost,hpcb-multitask_anon_template1,pclass,recall,0.63
CatBoost,hpcb-multitask_anon_template1,pclass,f1-score,0.65
CatBoost,int_anon,avgpcon,MAE,42.6424
CatBoost,int_anon,avgpcon,R2 Score,-0.227
CatBoost,int_anon,duration,MAE,571.7706
CatBoost,int_anon,duration,R2 Score,-3.0385
CatBoost,int_anon,ec,accuracy,0.78
CatBoost,int_anon,ec,precision,0.66
CatBoost,int_anon,ec,recall,0.68
CatBoost,int_anon,ec,f1-score,0.67
CatBoost,int_anon,pclass,accuracy,0.76
CatBoost,int_anon,pclass,precision,0.68
CatBoost,int_anon,pclass,recall,0.63
CatBoost,int_anon,pclass,f1-score,0.64
CatBoost,sb_anon,avgpcon,MAE,29.9363
CatBoost,sb_anon,avgpcon,R2 Score,0.1539
CatBoost,sb_anon,duration,MAE,271.2091
CatBoost,sb_anon,duration,R2 Score,0.0607
CatBoost,sb_anon,ec,accuracy,0.89
CatBoost,sb_anon,ec,precision,0.92
CatBoost,sb_anon,ec,recall,0.74
CatBoost,sb_anon,ec,f1-score,0.79
CatBoost,sb_anon,pclass,accuracy,0.77
CatBoost,sb_anon,pclass,precision,0.74
CatBoost,sb_anon,pclass,recall,0.58
CatBoost,sb_anon,pclass,f1-score,0.58
CatBoost,sb_anon_template1,avgpcon,MAE,33.7097
CatBoost,sb_anon_template1,avgpcon,R2 Score,0.1252
CatBoost,sb_anon_template1,duration,MAE,374.2505
CatBoost,sb_anon_template1,duration,R2 Score,-0.2904
CatBoost,sb_anon_template1,ec,accuracy,0.86
CatBoost,sb_anon_template1,ec,precision,0.89
CatBoost,sb_anon_template1,ec,recall,0.65
CatBoost,sb_anon_template1,ec,f1-score,0.68
CatBoost,sb_anon_template1,pclass,accuracy,0.76
CatBoost,sb_anon_template1,pclass,precision,0.75
CatBoost,sb_anon_template1,pclass,recall,0.56
CatBoost,sb_anon_template1,pclass,f1-score,0.55
CatBoost,sb_anon_template2,avgpcon,MAE,30.0151
CatBoost,sb_anon_template2,avgpcon,R2 Score,0.1897
CatBoost,sb_anon_template2,duration,MAE,253.6238
CatBoost,sb_anon_template2,duration,R2 Score,0.0703
CatBoost,sb_anon_template2,ec,accuracy,0.89
