File name,# of jobs,Size (in MB)
21_03.parquet,713617,458
21_04.parquet,116977,150
21_05.parquet,595314,433
21_06.parquet,584505,505
21_07.parquet,338251,282
21_08.parquet,549070,336
21_09.parquet,402341,331
21_10.parquet,641820,838
21_11.parquet,883186,699
21_12.parquet,931118,931
22_01.parquet,1307407,1300
22_02.parquet,1018106,817
22_03.parquet,678156,746
22_04.parquet,424413,629
22_05.parquet,422400,536
22_06.parquet,473224,586
22_07.parquet,460411,575
22_08.parquet,729651,634
22_09.parquet,660134,841
22_10.parquet,533978,663
22_11.parquet,814384,795
22_12.parquet,794880,855
23_01.parquet,894491,981
23_02.parquet,636416,762
23_03.parquet,684593,728
23_04.parquet,618335,575
23_05.parquet,610437,635
23_06.parquet,1303631,1300
23_07.parquet,961051,968
23_08.parquet,1043535,1200
23_09.parquet,572207,455
23_10.parquet,808424,885
23_11.parquet,730023,944
23_12.parquet,626404,909
24_01.parquet,705516,1100
24_02.parquet,669758,800
24_03.parquet,508286,529
24_04.parquet,420450,568
